candidate_id,selected_occupation,recommendation_score,recommendation_percentage,skill_normalized_score,skill_percentage,tfidf_similarity_score,tfidf_normalized_score,tfidf_percentage,semantic_similarity_score,semantic_normalized_score,semantic_percentage,posting_count,total_vacancies,province_count,demand_score,demand_percentage,education_score,education_percentage,candidate_match_score,final_hybrid_score,final_hybrid_percentage,final_hybrid_rank,demand_adjusted_score,demand_adjusted_rank,education_adjusted_score,education_adjusted_rank,tfidf_demand_score,tfidf_demand_rank,tfidf_education_score,tfidf_education_rank
Candidate_041,Office Manager,0.7410071942446043,74.10071942446042,1.0,100.0,0.010980504356913404,1.0,100.0,0.4888598322868347,0.5343598302672412,53.44,676,1709,13,0.5286438829565303,52.86,1.0,100.0,0.5370259405935344,0.7427547171848404,74.28,1,0.7194727086982026,1,0.7904619236202586,2,0.9057287765913061,1,1.0,1
Candidate_042,Software Developer,0.5902956298200515,59.029562982005146,1.0,100.0,0.015465894520808019,0.9790532224818549,97.91,0.5856556296348572,1.0,100.0,323,344,8,0.2290858604605659,22.91,1.0,100.0,0.7,0.8458171720921132,84.58,1,0.8458171720921133,1,1.0,1,0.8290597500775971,3,0.9811479002336694,2
Candidate_043,Software Developer,0.7991645244215939,79.9164524421594,1.0,100.0,0.02128454716563712,0.5370259336622141,53.7,0.6126227974891663,1.0,100.0,323,344,8,0.2290858604605659,22.91,1.0,100.0,0.7,0.8458171720921132,84.58,1,0.8458171720921133,1,1.0,1,0.4754379190218844,3,0.5833233402959926,2
Candidate_044,Software Developer,0.7911311053984575,79.11311053984575,1.0,100.0,0.007979551407849826,0.8419304556239166,84.19,0.5837604403495789,1.0,100.0,323,344,8,0.2290858604605659,22.91,1.0,100.0,0.7,0.8458171720921132,84.58,1,0.8458171720921133,1,1.0,1,0.7193615365912465,2,0.8577374100615249,2
Candidate_045,Administrative Assistant,0.7983193277310925,79.83193277310924,1.0,100.0,0.0110633604438848,0.25069564090015417,25.07,0.5037365555763245,0.627235597949905,62.72,812,890,11,0.4384514673595585,43.85,1.0,100.0,0.5695324592824667,0.7572227527543783,75.72,1,0.7385845326518737,1,0.8322560190774573,1,0.288246806192035,9,0.3256260768101388,6
Candidate_046,Software Developer,0.6266066838046273,62.66066838046272,0.9586203053787364,95.86,0.009017399147131249,1.0,100.0,0.5723596215248108,1.0,100.0,323,344,8,0.2290858604605659,22.91,1.0,100.0,0.6855171068825577,0.8313342789746709,83.13,1,0.8292652942436078,1,0.9813791374204314,1,0.8458171720921133,1,1.0,1
Candidate_047,Food Service Supervisor,0.9677419354838712,96.77419354838712,0.9265716945519203,92.66,0.013077690540102332,0.4638618606037245,46.39,0.5075808167457581,0.48317567305116393,48.32,1061,2524,12,0.6833380235893983,68.33,1.0,100.0,0.49341157866107943,0.730079183378959,73.01,1,0.7005665517591133,1,0.734386315421388,3,0.5077570932008593,7,0.5174756745433521,7
Candidate_048,Software Developer,0.6266066838046273,62.66066838046272,0.9586203053787364,95.86,0.009017399147131249,1.0,100.0,0.5723596215248108,1.0,100.0,323,344,8,0.2290858604605659,22.91,1.0,100.0,0.6855171068825577,0.8313342789746709,83.13,1,0.8292652942436078,1,0.9813791374204314,1,0.8458171720921133,1,1.0,1
Candidate_049,Software Developer,0.5504498714652957,55.04498714652957,0.5890999082519915,58.91,0.011007492099342289,1.0,100.0,0.522462785243988,1.0,100.0,323,344,8,0.2290858604605659,22.91,1.0,100.0,0.556184967888197,0.7020021399803102,70.2,1,0.6814571353929099,1,0.8150949587133962,1,0.8458171720921133,1,1.0,1
Candidate_050,Administrative Assistant,0.8991596638655464,89.91596638655463,1.0,100.0,0.005498845809016778,0.2784438515206583,27.84,0.45282796025276184,0.47704435800673956,47.7,812,890,11,0.4384514673595585,43.85,1.0,100.0,0.5169655253023588,0.7046558187742705,70.47,1,0.6785080366746076,1,0.7646699611030328,1,0.31044537468843836,6,0.3505994663685925,4
Candidate_051,Software Developer,0.4540488431876607,45.40488431876607,0.9987509596933241,99.88,0.014232881552083812,0.8185089463757544,81.85,0.5610419511795044,1.0,100.0,323,344,8,0.2290858604605659,22.91,1.0,100.0,0.6995628358926633,0.8453800079847765,84.54,1,0.8453175559694429,1,0.9994379318619958,1,0.7006243291927168,2,0.836658051738179,2
Candidate_052,Software Developer,0.7911311053984575,79.11311053984575,1.0,100.0,0.01186259200115495,1.0,100.0,0.5008224844932556,1.0,100.0,323,344,8,0.2290858604605659,22.91,1.0,100.0,0.7,0.8458171720921132,84.58,1,0.8458171720921133,1,1.0,1,0.8458171720921133,1,1.0,1
Candidate_053,Software Developer,0.5424164524421594,54.24164524421594,0.7574749195494261,75.75,0.036178063175722294,0.564180698522462,56.42,0.5437585115432739,1.0,100.0,323,344,8,0.2290858604605659,22.91,1.0,100.0,0.6151162218422991,0.7609333939344123,76.09,1,0.7488071399118837,1,0.8908637137972418,1,0.4971617309100828,3,0.6077626286702158,2
Candidate_054,Food Service Supervisor,0.9677419354838712,96.77419354838712,0.9265716945519203,92.66,0.0071124718825269955,0.10845927502789392,10.85,0.4666447937488556,0.45602634076130916,45.6,1061,2524,12,0.6833380235893983,68.33,1.0,100.0,0.4839093123596303,0.7205769170775099,72.06,1,0.6897068188431714,1,0.7221691158909532,3,0.2234350247401948,7,0.19761334752510454,5
Candidate_055,Office Manager,0.6618705035971223,66.18705035971223,1.0,100.0,0.00690857219481961,0.06686054910217647,6.69,0.35603994131088257,0.3395812373103902,33.96,676,1709,13,0.5286438829565303,52.86,1.0,100.0,0.4688534330586365,0.6745822096499425,67.46,1,0.6415612715154622,1,0.7028115567896756,2,0.15921721587304724,11,0.16017449419195884,6
Candidate_056,Administrative Assistant,0.8991596638655464,89.91596638655463,1.0,100.0,0.007191245906312854,0.3735419295683931,37.35,0.45794782042503357,0.4171239908329019,41.71,812,890,11,0.4384514673595585,43.85,1.0,100.0,0.49599339679151566,0.6836836902634273,68.37,1,0.6545398898050725,1,0.7377057958748059,1,0.3865238371266262,8,0.43618773661155386,4
Candidate_057,Software Developer,0.9035989717223648,90.35989717223649,1.0,100.0,0.034749897026747495,1.0,100.0,0.5650137662887573,1.0,100.0,323,344,8,0.2290858604605659,22.91,1.0,100.0,0.7,0.8458171720921132,84.58,1,0.8458171720921133,1,1.0,1,0.8458171720921133,1,1.0,1
Candidate_058,Administrative Assistant,0.7942857142857143,79.42857142857143,1.0,100.0,0.005992800932418534,0.30341778386373025,30.34,0.3887931704521179,0.42190882797383983,42.19,812,890,11,0.4384514673595585,43.85,1.0,100.0,0.49766808979084387,0.6853583832627556,68.54,1,0.6564538246614476,1,0.739858972588228,1,0.33042452056289595,7,0.3730760054773572,4
Candidate_059,Software Developer,0.6947300771208227,69.47300771208226,1.0,100.0,0.028544201682979064,0.551299470898522,55.13,0.5183214545249939,1.0,100.0,323,344,8,0.2290858604605659,22.91,1.0,100.0,0.7,0.8458171720921132,84.58,1,0.8458171720921133,1,1.0,1,0.48685674881093083,3,0.5961695238086698,2
Candidate_060,Software Developer,0.5902956298200515,59.029562982005146,1.0,100.0,0.01327897515727883,0.9868199330889985,98.68,0.5789132118225098,1.0,100.0,323,344,8,0.2290858604605659,22.91,1.0,100.0,0.7,0.8458171720921132,84.58,1,0.8458171720921133,1,1.0,1,0.8352731185633121,2,0.9881379397800987,1
Candidate_061,Food Service Supervisor,1.0000000000000002,100.00000000000004,1.0,100.0,0.008126269292209675,0.29537567545472676,29.54,0.49087390303611755,0.3740677812381473,37.41,1061,2524,12,0.6833380235893983,68.33,1.0,100.0,0.48092372343335155,0.7175913281512312,71.76,1,0.6862947172131386,1,0.7183305015571663,2,0.3729681450816611,8,0.3658381079092541,7
Candidate_062,Administrative Assistant,0.8991596638655464,89.91596638655463,1.0,100.0,0.00806531417550917,0.1888387979086318,18.88,0.4910988211631775,0.5005136650935003,50.05,812,890,11,0.4384514673595585,43.85,1.0,100.0,0.525179782782725,0.7128700762546367,71.29,1,0.6878957595093118,1,0.7752311492920752,1,0.23876133179881717,7,0.2699549181177686,3
Candidate_063,Administrative Assistant,0.7942857142857143,79.42857142857143,1.0,100.0,0.008411841846757436,0.5349100942695931,53.49,0.48650887608528137,0.47986316918591654,47.99,812,890,11,0.4384514673595585,43.85,1.0,100.0,0.5179521092150707,0.7056424026869824,70.56,1,0.6796355611462783,1,0.7659384261336625,1,0.5156183688875862,8,0.5814190848426338,6
